name,unicode,keywords,definition
no pedestrians,U+1F6B7,forbidden not prohibited no pedestrian,"A pedestrian symbol with a red stroke through it, indicating that pedestrians are prohibited from this location. May be seen in dedicated bi http://emojipedia.org/no-pedestrians/"
person walking,U+1F6B6,walking walk hike,"A going for a walk. Taking a slow-medium pace, this person would be a runner if they picked up their speed. This emoji is intended to be gen http://emojipedia.org/pedestrian/"
person mountain biking,U+1F6B5,bicycle cyclist bike mountain bicyclist,A person (cyclist) who rides a mountain bike: a type of off-road bicycle. Intended to be gender-neutral. Person Mountain Biking was approved http://emojipedia.org/mountain-bicyclist/
person biking,U+1F6B4,bicycle cyclist biking,"A person riding a bicycle for leisure, sport or transport. Intended to be gender-neutral. Person Biking was approved as part of Unicode 6.0  http://emojipedia.org/bicyclist/"
no bicycles,U+1F6B3,bicycle forbidden bike not prohibited no,"A bicycle with a red stroke through it, indicating that bikes are prohibited from this location. May be seen in pedestrian malls with a bicy http://emojipedia.org/no-bicycles/"
non-potable water,U+1F6B1,water non-potable non-drinking,"A water tap with a red stroke through it, indicating that water is not safe for drinking (non-potable). May be used at a camp site or other  http://emojipedia.org/non-potable-water-symbol/"
potable water,U+1F6B0,water potable drinking,Potable Water was approved as part of Unicode 6.0 in 2010 under the name “Potable Water Symbol” and added to Emoji 1.0 in 2015. Copy and pas http://emojipedia.org/potable-water-symbol/
no littering,U+1F6AF,forbidden not prohibited litter no,"A person dropping litter (rubbish, trash) with a red stroke through it, indicating that littering is prohibited in this area. Usually implie http://emojipedia.org/do-not-litter-symbol/"
litter in bin sign,U+1F6AE,litter bin litter,A symbol showing a person putting litter (rubbish) in the trash (rubbish bin). A more positive version of the Do Not Litter Symbol. Litter i http://emojipedia.org/put-litter-in-its-place-symbol/
no smoking,U+1F6AD,forbidden not smoking prohibited no,No Smoking was approved as part of Unicode 6.0 in 2010 under the name “No Smoking Symbol” and added to Emoji 1.0 in 2015. Copy and paste thi http://emojipedia.org/no-smoking-symbol/
prohibited,U+1F6AB,forbidden not entry no,"Called a “No Entry” sign Emoji, but does not look like the no entry road sign that one might expect. The artwork for this Emoji looks more l http://emojipedia.org/no-entry-sign/"
triangular flag,U+1F6A9,post,"A triangular red flag on a post. Most commonly associated with golf, as shown in the flag in hole emoji. Triangular Flag was approved as par http://emojipedia.org/triangular-flag-on-post/"
police car light,U+1F6A8,revolving beacon light car police,A revolving red light seen on top of a police car. Often used in emergency circumstances in addition to a siren making a loud warning sound. http://emojipedia.org/police-cars-revolving-light/
vertical traffic light,U+1F6A6,light traffic signal,"A set of red, orange (amber) and green traffic lights, used at intersections. More common than the horizontal traffic light. Vertical Traffi http://emojipedia.org/vertical-traffic-light/"
horizontal traffic light,U+1F6A5,light traffic signal,"A set of red, orange (amber) and green traffic lights, used at intersections. Less common than the vertical traffic light. Similar in appear http://emojipedia.org/horizontal-traffic-light/"
person rowing boat,U+1F6A3,rowboat boat,A small rowboat suitable for a small number of people. Couples or families sometimes hire these as an activity on calm waters. Person Rowing http://emojipedia.org/rowboat/
ship,U+1F6A2,passenger boat,"A large ship, used for transport of people or cargo across the ocean. May be a cruise ship, commonly found around tropical locations. Ship w http://emojipedia.org/ship/"
aerial tramway,U+1F6A1,tramway car cable gondola aerial,"An Aerial Tramway, most commonly seen at ski resorts, for transport between locations on a mountain. Can also be used as a tourist attractio http://emojipedia.org/aerial-tramway/"
mountain cableway,U+1F6A0,cable mountain gondola,Mountain Cableway was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/mountain-cableway/
mahjong red dragon,U+1F004,game mahjong red,"The red dragon tile in the game of Japanese Mahjong. White, with red ? character printed on it. Mahjong Red Dragon was approved as part of U http://emojipedia.org/mahjong-tile-red-dragon/"
suspension railway,U+1F69F,suspension railway,"Similar to a monorail, a suspension railway is elevated, but the vehicle is suspended under the track. Suspension Railway was approved as pa http://emojipedia.org/suspension-railway/"
mountain railway,U+1F69E,car mountain railway,"A train and railway in the mountains. Displayed as a funicular in Microsoft’s artwork, or a regular train on other platforms. Android displa http://emojipedia.org/mountain-railway/"
articulated lorry,U+1F69B,semi truck lorry,Articulated Lorry was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/articulated-lorry/
delivery truck,U+1F69A,truck delivery,Delivery Truck was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/delivery-truck/
sport utility vehicle,U+1F699,sport utility recreational,"A vehicle used for recreation, which is generally understood to mean a campervan or motorhome. May have originally been intended to represen http://emojipedia.org/recreational-vehicle/"
oncoming automobile,U+1F698,car oncoming automobile,"A car, being shown from the front. The windscreen and hood (bonnet in British English) of the car can be seen. facing forward. This car show http://emojipedia.org/oncoming-automobile/"
oncoming taxi,U+1F696,taxi oncoming,"A yellow taxicab, iconically seen in New York City. Shown from the front, as opposed to the taxi emoji which displays the side of the vehicl http://emojipedia.org/oncoming-taxi/"
oncoming police car,U+1F694,car police oncoming,"A police car, shown with an emergency light on the top. This emoji is displayed from the front, as opposed to the police car emoji, which is http://emojipedia.org/oncoming-police-car/"
police car,U+1F693,patrol car police,"A police car, shown with an emergency light on the top. This emoji is displayed from the side, as opposed to the oncoming police car emoji,  http://emojipedia.org/police-car/"
fire engine,U+1F692,fire engine truck,"A red fire truck, an essential part of emergency services along with a police car or ambulance. May be on the way to put out a fire. Fire En http://emojipedia.org/fire-engine/"
bus stop,U+1F68F,bus stop busstop,A sign indicating the location of a bus stop. Bus Stop was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Copy and  http://emojipedia.org/bus-stop/
trolleybus,U+1F68E,bus tram trolley,A type of bus that uses overhead electrical wires for power. Appears similar to a cross between a bus and a tram car. Trolleybus was approve http://emojipedia.org/trolleybus/
oncoming bus,U+1F68D,bus oncoming,"The front of a bus, showing the windscreen, as well as wing mirrors in some versions of this emoji. Oncoming Bus was approved as part of Uni http://emojipedia.org/oncoming-bus/"
tram car,U+1F68B,trolleybus car tram,"A form of public transport on rails, usually found on streets in cities or other urban areas. For short or medium-length journeys. Trams ten http://emojipedia.org/tram-car/"
station,U+1F689,railway train,"A station, presumed to be a train station. Displays a train alongside a platform, where passengers can board. Station was approved as part o http://emojipedia.org/station/"
light rail,U+1F688,railway,"A form of public transport similar to a tram, but running on a track or network separated from cars and other types of traffic. Difficult to http://emojipedia.org/light-rail/"
high-speed train with bullet nose,U+1F685,bullet speed shinkansen railway train,"A high speed train, designed to cover long distances at high speed. Also features a streamlined bullet nose, often used in reference to the  http://emojipedia.org/high-speed-train-with-bullet-nose/"
high-speed train,U+1F684,speed shinkansen railway train,"A high speed train, designed to cover long distances at high speed. High-speed Train was approved as part of Unicode 6.0 in 2010 under the n http://emojipedia.org/high-speed-train/"
railway car,U+1F683,trolleybus electric car tram railway train,"A widely misunderstood emoji, due to the lack of consistency between platforms. A railway (railroad) car is a carriage that is generally pul http://emojipedia.org/railway-car/"
locomotive,U+1F682,steam engine railway train,"A steam train, powered by coal or wood. An early type of locomotive, now mostly replaced by electric or diesel trains. Oddly, this emoji doe http://emojipedia.org/steam-locomotive/"
folded hands,U+1F64F,hand gesture pray bow please thanks folded ask,"Two hands placed firmly together, meaning please or thank you in Japanese culture. Other common uses for this character include prayer/prayi http://emojipedia.org/person-with-folded-hands/"
person pouting,U+1F64E,pouting gesture,"A person pouting. Outwardly showing his or her displeasure with the situation. This shows a person pouting, rather than just the face on the http://emojipedia.org/person-with-pouting-face/"
person frowning,U+1F64D,gesture frown,"An upset person, frowning with dismay. Should be gender-neutral, but displays as a woman on iOS, and a man on Windows. Person Frowning was a http://emojipedia.org/person-frowning/"
raising hands,U+1F64C,hooray hand gesture raised celebration,"Two hands raised in the air, celebrating success or another joyous event. Raising Hands was approved as part of Unicode 6.0 in 2010 under th http://emojipedia.org/person-raising-both-hands-in-celebration/"
person raising hand,U+1F64B,hand gesture raised happy,"A person with a hand in the air, as if this characters wants to ask or answer a question. Displayed as a female (girl or woman) in the Apple http://emojipedia.org/happy-person-raising-one-hand/"
speak-no-evil monkey,U+1F64A,evil not speak face forbidden gesture no prohibited monkey,"One of the three wise monkeys, known as Iwazaru. This Speak-No-Evil monkey has hands covering his mouth, as part of the proverb “see no evil http://emojipedia.org/speak-no-evil-monkey/"
hear-no-evil monkey,U+1F649,evil hear not face forbidden gesture prohibited no monkey,"One of the three wise monkeys, known as Kikazaru. This Hear-No-Evil monkey has hands covering his ears, as part of the proverb “see no evil, http://emojipedia.org/hear-no-evil-monkey/"
see-no-evil monkey,U+1F648,evil not see face forbidden gesture no prohibited monkey,"One of the three wise monkeys, known as Mizaru. This See-No-Evil monkey has hands covering his eyes, as part of the proverb “see no evil, he http://emojipedia.org/see-no-evil-monkey/"
person bowing,U+1F647,apology gesture sorry bow,"A person bowing deeply which is known as dogeza in Japan. Used to express a sincere apology, or to request a large favour. Many variations o http://emojipedia.org/person-bowing-deeply/"
person gesturing OK,U+1F646,hand ok gesture,"A person with arms above his or her head, making an ‘OK’ sign (circle) with the whole body. Intended to be gender-neutral, but shown in the  http://emojipedia.org/face-with-ok-gesture/"
